timestamp,Monthly U.S. female (20 years and over) unemployment figures (10**3) 1948-1981,assetno
-694310400000,446,A1
-691632000000,650,A1
-689126400000,592,A1
-686448000000,561,A1
-683856000000,491,A1
-681177600000,592,A1
-678585600000,604,A1
-675907200000,635,A1
-673228800000,580,A1
-670636800000,510,A1
-667958400000,553,A1
-665366400000,554,A1
-662688000000,628,A1
-660009600000,708,A1
-657590400000,629,A1
-654912000000,724,A1
-652320000000,820,A1
-649641600000,865,A1
-647049600000,1007,A1
-644371200000,1025,A1
-641692800000,955,A1
-639100800000,889,A1
-636422400000,965,A1
-633830400000,878,A1
-631152000000,1103,A1
-628473600000,1092,A1
-626054400000,978,A1
-623376000000,823,A1
-620784000000,827,A1
-618105600000,928,A1
-615513600000,838,A1
-612835200000,720,A1
-610156800000,756,A1
-607564800000,658,A1
-604886400000,838,A1
-602294400000,684,A1
-599616000000,779,A1
-596937600000,754,A1
-594518400000,794,A1
-591840000000,681,A1
-589248000000,658,A1
-586569600000,644,A1
-583977600000,622,A1
-581299200000,588,A1
-578620800000,720,A1
-576028800000,670,A1
-573350400000,746,A1
-570758400000,616,A1
-568080000000,646,A1
-565401600000,678,A1
-562896000000,552,A1
-560217600000,560,A1
-557625600000,578,A1
-554947200000,514,A1
-552355200000,541,A1
-549676800000,576,A1
-546998400000,522,A1
-544406400000,530,A1
-541728000000,564,A1
-539136000000,442,A1
-536457600000,520,A1
-533779200000,484,A1
-531360000000,538,A1
-528681600000,454,A1
-526089600000,404,A1
-523411200000,424,A1
-520819200000,432,A1
-518140800000,458,A1
-515462400000,556,A1
-512870400000,506,A1
-510192000000,633,A1
-507600000000,708,A1
-504921600000,1013,A1
-502243200000,1031,A1
-499824000000,1101,A1
-497145600000,1061,A1
-494553600000,1048,A1
-491875200000,1005,A1
-489283200000,987,A1
-486604800000,1006,A1
-483926400000,1075,A1
-481334400000,854,A1
-478656000000,1008,A1
-476064000000,777,A1
-473385600000,982,A1
-470707200000,894,A1
-468288000000,795,A1
-465609600000,799,A1
-463017600000,781,A1
-460339200000,776,A1
-457747200000,761,A1
-455068800000,839,A1
-452390400000,842,A1
-449798400000,811,A1
-447120000000,843,A1
-444528000000,753,A1
-441849600000,848,A1
-439171200000,756,A1
-436665600000,848,A1
-433987200000,828,A1
-431395200000,857,A1
-428716800000,838,A1
-426124800000,986,A1
-423446400000,847,A1
-420768000000,801,A1
-418176000000,739,A1
-415497600000,865,A1
-412905600000,767,A1
-410227200000,941,A1
-407548800000,846,A1
-405129600000,768,A1
-402451200000,709,A1
-399859200000,798,A1
-397180800000,831,A1
-394588800000,833,A1
-391910400000,798,A1
-389232000000,806,A1
-386640000000,771,A1
-383961600000,951,A1
-381369600000,799,A1
-378691200000,1156,A1
-376012800000,1332,A1
-373593600000,1276,A1
-370915200000,1373,A1
-368323200000,1325,A1
-365644800000,1326,A1
-363052800000,1314,A1
-360374400000,1343,A1
-357696000000,1225,A1
-355104000000,1133,A1
-352425600000,1075,A1
-349833600000,1023,A1
-347155200000,1266,A1
-344476800000,1237,A1
-342057600000,1180,A1
-339379200000,1046,A1
-336787200000,1010,A1
-334108800000,1010,A1
-331516800000,1046,A1
-328838400000,985,A1
-326160000000,971,A1
-323568000000,1037,A1
-320889600000,1026,A1
-318297600000,947,A1
-315619200000,1097,A1
-312940800000,1018,A1
-310435200000,1054,A1
-307756800000,978,A1
-305164800000,955,A1
-302486400000,1067,A1
-299894400000,1132,A1
-297216000000,1092,A1
-294537600000,1019,A1
-291945600000,1110,A1
-289267200000,1262,A1
-286675200000,1174,A1
-283996800000,1391,A1
-281318400000,1533,A1
-278899200000,1479,A1
-276220800000,1411,A1
-273628800000,1370,A1
-270950400000,1486,A1
-268358400000,1451,A1
-265680000000,1309,A1
-263001600000,1316,A1
-260409600000,1319,A1
-257731200000,1233,A1
-255139200000,1113,A1
-252460800000,1363,A1
-249782400000,1245,A1
-247363200000,1205,A1
-244684800000,1084,A1
-242092800000,1048,A1
-239414400000,1131,A1
-236822400000,1138,A1
-234144000000,1271,A1
-231465600000,1244,A1
-228873600000,1139,A1
-226195200000,1205,A1
-223603200000,1030,A1
-220924800000,1300,A1
-218246400000,1319,A1
-215827200000,1198,A1
-213148800000,1147,A1
-210556800000,1140,A1
-207878400000,1216,A1
-205286400000,1200,A1
-202608000000,1271,A1
-199929600000,1254,A1
-197337600000,1203,A1
-194659200000,1272,A1
-192067200000,1073,A1
-189388800000,1375,A1
-186710400000,1400,A1
-184204800000,1322,A1
-181526400000,1214,A1
-178934400000,1096,A1
-176256000000,1198,A1
-173664000000,1132,A1
-170985600000,1193,A1
-168307200000,1163,A1
-165715200000,1120,A1
-163036800000,1164,A1
-160444800000,966,A1
-157766400000,1154,A1
-155088000000,1306,A1
-152668800000,1123,A1
-149990400000,1033,A1
-147398400000,940,A1
-144720000000,1151,A1
-142128000000,1013,A1
-139449600000,1105,A1
-136771200000,1011,A1
-134179200000,963,A1
-131500800000,1040,A1
-128908800000,838,A1
-126230400000,1012,A1
-123552000000,963,A1
-121132800000,888,A1
-118454400000,840,A1
-115862400000,880,A1
-113184000000,939,A1
-110592000000,868,A1
-107913600000,1001,A1
-105235200000,956,A1
-102643200000,966,A1
-99964800000,896,A1
-97372800000,843,A1
-94694400000,1180,A1
-92016000000,1103,A1
-89596800000,1044,A1
-86918400000,972,A1
-84326400000,897,A1
-81648000000,1103,A1
-79056000000,1056,A1
-76377600000,1055,A1
-73699200000,1287,A1
-71107200000,1231,A1
-68428800000,1076,A1
-65836800000,929,A1
-63158400000,1105,A1
-60480000000,1127,A1
-57974400000,988,A1
-55296000000,903,A1
-52704000000,845,A1
-50025600000,1020,A1
-47433600000,994,A1
-44755200000,1036,A1
-42076800000,1050,A1
-39484800000,977,A1
-36806400000,956,A1
-34214400000,818,A1
-31536000000,1031,A1
-28857600000,1061,A1
-26438400000,964,A1
-23760000000,967,A1
-21168000000,867,A1
-18489600000,1058,A1
-15897600000,987,A1
-13219200000,1119,A1
-10540800000,1202,A1
-7948800000,1097,A1
-5270400000,994,A1
-2678400000,840,A1
0,1086,A1
2678400000,1238,A1
5097600000,1264,A1
7776000000,1171,A1
10368000000,1206,A1
13046400000,1303,A1
15638400000,1393,A1
18316800000,1463,A1
20995200000,1601,A1
23587200000,1495,A1
26265600000,1561,A1
28857600000,1404,A1
31536000000,1705,A1
34214400000,1739,A1
36633600000,1667,A1
39312000000,1599,A1
41904000000,1516,A1
44582400000,1625,A1
47174400000,1629,A1
49852800000,1809,A1
52531200000,1831,A1
55123200000,1665,A1
57801600000,1659,A1
60393600000,1457,A1
63072000000,1707,A1
65750400000,1607,A1
68256000000,1616,A1
70934400000,1522,A1
73526400000,1585,A1
76204800000,1657,A1
78796800000,1717,A1
81475200000,1789,A1
84153600000,1814,A1
86745600000,1698,A1
89424000000,1481,A1
92016000000,1330,A1
94694400000,1646,A1
97372800000,1596,A1
99792000000,1496,A1
102470400000,1386,A1
105062400000,1302,A1
107740800000,1524,A1
110332800000,1547,A1
113011200000,1632,A1
115689600000,1668,A1
118281600000,1421,A1
120960000000,1475,A1
123552000000,1396,A1
126230400000,1706,A1
128908800000,1715,A1
131328000000,1586,A1
134006400000,1477,A1
136598400000,1500,A1
139276800000,1648,A1
141868800000,1745,A1
144547200000,1856,A1
147225600000,2067,A1
149817600000,1856,A1
152496000000,2104,A1
155088000000,2061,A1
157766400000,2809,A1
160444800000,2783,A1
162864000000,2748,A1
165542400000,2642,A1
168134400000,2628,A1
170812800000,2714,A1
173404800000,2699,A1
176083200000,2776,A1
178761600000,2795,A1
181353600000,2673,A1
184032000000,2558,A1
186624000000,2394,A1
189302400000,2784,A1
191980800000,2751,A1
194486400000,2521,A1
197164800000,2372,A1
199756800000,2202,A1
202435200000,2469,A1
205027200000,2686,A1
207705600000,2815,A1
210384000000,2831,A1
212976000000,2661,A1
215654400000,2590,A1
218246400000,2383,A1
220924800000,2670,A1
223603200000,2771,A1
226022400000,2628,A1
228700800000,2381,A1
231292800000,2224,A1
233971200000,2556,A1
236563200000,2512,A1
239241600000,2690,A1
241920000000,2726,A1
244512000000,2493,A1
247190400000,2544,A1
249782400000,2232,A1
252460800000,2494,A1
255139200000,2315,A1
257558400000,2217,A1
260236800000,2100,A1
262828800000,2116,A1
265507200000,2319,A1
268099200000,2491,A1
270777600000,2432,A1
273456000000,2470,A1
276048000000,2191,A1
278726400000,2241,A1
281318400000,2117,A1
283996800000,2370,A1
286675200000,2392,A1
289094400000,2255,A1
291772800000,2077,A1
294364800000,2047,A1
297043200000,2255,A1
299635200000,2233,A1
302313600000,2539,A1
304992000000,2394,A1
307584000000,2341,A1
310262400000,2231,A1
312854400000,2171,A1
315532800000,2487,A1
318211200000,2449,A1
320716800000,2300,A1
323395200000,2387,A1
325987200000,2474,A1
328665600000,2667,A1
331257600000,2791,A1
333936000000,2904,A1
336614400000,2737,A1
339206400000,2849,A1
341884800000,2723,A1
344476800000,2613,A1
347155200000,2950,A1
349833600000,2825,A1
352252800000,2717,A1
354931200000,2593,A1
357523200000,2703,A1
360201600000,2836,A1
362793600000,2938,A1
365472000000,2975,A1
368150400000,3064,A1
370742400000,3092,A1
373420800000,3063,A1
376012800000,2991,A1
